连接对象,从哪里,到哪里,线材类型,电压,注意事项
舵机电源输入,外部舵机电源,控制板/转接板电源输入,待确认,待根据硬件确认,上电前必须检查正负极
舵机总线起点,控制板/转接板舵机口,J1 舵机 ID 1,Feetech 舵机线；待确认,待根据硬件确认,确认插头方向和总线连接稳定
舵机串联 1,J1 舵机 ID 1,J2 舵机 ID 2,Feetech 舵机线；待确认,同舵机电源,J2 是多圈关节
舵机串联 2,J2 舵机 ID 2,J3 舵机 ID 3,Feetech 舵机线；待确认,同舵机电源,J3 是多圈关节
舵机串联 3,J3 舵机 ID 3,J4 舵机 ID 4,Feetech 舵机线；待确认,同舵机电源,走线不能干涉肘部运动
舵机串联 4,J4 舵机 ID 4,J5 舵机 ID 5,Feetech 舵机线；待确认,同舵机电源,J5 是多圈关节
舵机串联 5,J5 舵机 ID 5,J6 夹爪 ID 6,Feetech 舵机线；待确认,同舵机电源,线材要避开腕部连续旋转范围
USB 串口,控制电脑 USB,控制板/USB 串口模块,USB 数据线,5V USB 通信,舵机动力不应依赖电脑 USB
摄像头,摄像头,控制电脑 USB,USB 摄像头线；待确认,USB 供电,阶段九使用；先确认系统可识别
控制电脑,macOS/Linux 主机,项目软件,USB/串口/网络,-,Mac 串口示例 /dev/tty.usbmodemXXXX；开发板固定 /dev/momo-servo
